,Forma
315,credito
316,debito
317,credito
318,credito
319,debito
320,pix
321,credito
322,pix
323,boleto
324,pix
325,credito
326,credito
327,credito
328,debito
329,credito
330,credito
331,credito
332,credito
333,credito
334,debito
335,credito
336,credito
337,debito
338,credito
339,boleto
340,credito
341,credito
342,credito
343,pix
344,credito
345,credito
346,credito
347,credito
348,credito
349,dinheiro
350,pix
351,credito
352,credito
353,dinheiro
354,credito
355,pix
356,credito
357,dinheiro
358,credito
359,debito
360,credito
361,credito
362,credito
363,boleto
364,debito
365,credito
366,debito
367,credito
368,debito
369,pix
370,pix
371,credito
372,dinheiro
373,dinheiro
374,credito
375,pix
376,credito
377,boleto
378,credito
379,debito
380,debito
381,debito
382,pix
383,debito
384,boleto
385,credito
386,debito
387,credito
388,debito
389,credito
390,debito
391,credito
392,boleto
393,credito
394,credito
395,credito
396,credito
397,credito
398,credito
399,credito
400,boleto
401,credito
402,dinheiro
403,credito
404,dinheiro
405,pix
406,credito
407,credito
408,credito
409,credito
410,pix
411,credito
412,boleto
413,credito
414,pix
415,credito
416,boleto
417,credito
418,credito
419,pix
420,credito
421,boleto
422,debito
423,credito
424,pix
425,credito
426,credito
427,credito
428,pix
429,credito
430,credito
431,boleto
432,debito
433,credito
434,credito
435,credito
436,credito
437,credito
438,pix
439,pix
440,credito
441,pix
442,credito
443,credito
444,credito
445,credito
446,debito
447,pix
448,boleto
449,pix
450,pix
451,credito
452,credito
453,pix
454,credito
455,credito
456,debito
457,credito
458,credito
459,credito
460,boleto
461,pix
462,credito
463,debito
464,pix
465,credito
466,boleto
467,credito
468,credito
469,boleto
470,pix
471,credito
472,credito
473,boleto
474,credito
475,debito
476,credito
477,boleto
478,credito
479,credito
480,credito
481,boleto
482,credito
483,credito
484,credito
485,credito
486,debito
487,boleto
488,pix
489,boleto
490,credito
491,credito
492,credito
493,credito
494,credito
495,dinheiro
496,credito
497,dinheiro
498,credito
499,credito
500,debito
501,credito
502,boleto
503,credito
504,debito
505,debito
506,boleto
507,credito
508,credito
509,pix
510,credito
511,credito
512,credito
513,credito
514,debito
515,boleto
516,credito
517,credito
518,credito
519,credito
520,credito
521,credito
522,pix
523,boleto
524,pix
525,credito
526,credito
527,credito
528,credito
529,credito
530,boleto
531,credito
532,dinheiro
533,credito
534,credito
535,debito
536,pix
537,debito
538,debito
539,debito
540,boleto
541,boleto
542,credito
543,credito
544,credito
545,dinheiro
546,pix
547,boleto
548,credito
549,pix
550,credito
551,credito
552,debito
553,credito
554,credito
555,credito
556,credito
557,pix
558,credito
559,pix
560,dinheiro
561,credito
562,credito
563,debito
564,boleto
565,boleto
566,credito
567,dinheiro
568,credito
569,credito
570,debito
571,dinheiro
572,credito
573,boleto
574,credito
575,debito
576,pix
577,debito
578,credito
579,credito
580,credito
581,pix
582,credito
583,boleto
584,boleto
585,credito
586,credito
587,credito
588,credito
589,pix
590,credito
591,debito
592,debito
593,debito
594,credito
595,credito
596,credito
597,credito
598,credito
599,credito
600,debito
601,credito
602,boleto
603,pix
604,credito
605,debito
606,credito
607,credito
608,credito
609,credito
610,pix
611,credito
612,credito
613,debito
614,boleto
615,pix
616,credito
617,credito
618,credito
619,credito
620,pix
621,credito
622,credito
623,debito
624,credito
625,credito
626,debito
627,credito
628,credito
629,debito
630,boleto
631,credito
632,credito
633,credito
634,boleto
635,dinheiro
636,credito
637,credito
638,pix
639,credito
640,pix
641,credito
642,credito
643,credito
644,debito
645,credito
646,credito
647,credito
648,credito
649,credito
650,pix
651,credito
652,credito
653,credito
654,credito
655,boleto
656,credito
657,dinheiro
658,pix
659,pix
660,boleto
661,credito
662,credito
663,debito
664,credito
665,credito
666,credito
667,credito
668,credito
669,dinheiro
670,credito
671,pix
672,credito
673,credito
674,credito
675,pix
676,pix
677,credito
678,credito
679,credito
680,pix
681,boleto
682,pix
683,credito
684,credito
685,debito
686,credito
687,credito
688,credito
689,pix
690,credito
691,credito
692,credito
693,credito
694,boleto
695,pix
696,pix
697,credito
698,credito
699,dinheiro
700,pix
701,credito
702,debito
703,credito
704,credito
705,dinheiro
706,credito
707,credito
708,credito
709,debito
710,credito
711,debito
712,debito
713,debito
714,pix
715,debito
716,debito
717,credito
718,credito
719,credito
720,credito
721,credito
722,credito
723,credito
724,pix
725,boleto
726,credito
727,debito
728,credito
729,credito
730,credito
731,pix
732,credito
733,credito
734,boleto
735,credito
736,credito
737,debito
738,boleto
739,credito
740,debito
741,pix
742,credito
743,credito
744,boleto
745,pix
746,credito
747,credito
748,dinheiro
749,debito
750,credito
751,debito
752,credito
753,pix
754,credito
755,credito
756,debito
757,credito
758,debito
759,boleto
760,credito
761,boleto
762,credito
763,credito
764,credito
765,credito
766,pix
767,credito
768,credito
769,debito
770,credito
771,boleto
772,credito
773,dinheiro
774,pix
775,debito
776,credito
777,credito
778,pix
779,credito
780,debito
781,credito
782,pix
783,credito
784,debito
785,credito
786,credito
787,credito
788,credito
789,credito
790,debito
791,credito
792,pix
793,dinheiro
794,credito
795,credito
796,credito
797,credito
798,credito
799,pix
800,dinheiro
801,credito
802,credito
803,credito
804,boleto
805,pix
806,credito
807,credito
808,credito
809,credito
810,credito
811,boleto
812,credito
813,credito
814,credito
815,credito
816,credito
817,credito
818,boleto
819,pix
820,pix
821,boleto
822,debito
823,credito
824,credito
825,credito
826,pix
827,pix
828,pix
829,credito
830,credito
831,credito
832,debito
833,pix
834,credito
835,credito
836,credito
837,boleto
838,credito
839,credito
840,credito
841,credito
842,credito
843,credito
844,credito
845,boleto
846,credito
847,debito
848,boleto
849,pix
850,credito
851,pix
852,credito
853,credito
854,credito
855,pix
856,credito
857,credito
858,credito
859,credito
860,boleto
861,credito
862,credito
863,credito
864,dinheiro
865,debito
866,credito
867,dinheiro
868,credito
869,pix
870,credito
871,credito
872,boleto
873,credito
874,credito
875,credito
876,credito
877,credito
878,pix
879,credito
880,boleto
881,boleto
882,credito
883,boleto
884,debito
885,debito
886,debito
887,credito
888,credito
889,credito
890,boleto
891,debito
892,credito
893,credito
894,credito
895,credito
896,credito
897,credito
898,dinheiro
899,pix
900,boleto
901,credito
902,credito
903,dinheiro
904,pix
905,credito
906,credito
907,debito
908,credito
909,credito
910,pix
911,credito
912,credito
913,debito
914,credito
915,debito
916,credito
917,credito
918,credito
919,credito
920,credito
921,boleto
922,credito
923,credito
924,credito
925,credito
926,pix
927,credito
928,credito
929,credito
930,credito
931,credito
932,credito
933,credito
934,pix
935,boleto
936,credito
937,pix
938,credito
939,pix
940,boleto
941,debito
942,credito
943,credito
944,credito
945,debito
946,credito
947,pix
948,credito
949,credito
950,pix
951,credito
952,credito
953,dinheiro
954,credito
955,credito
956,credito
957,credito
958,credito
959,pix
960,pix
961,pix
962,boleto
963,credito
964,credito
965,pix
966,credito
967,pix
968,credito
969,credito
970,credito
971,credito
972,pix
973,credito
974,credito
975,pix
976,debito
977,credito
978,credito
979,credito
980,credito
981,debito
982,credito
983,credito
984,credito
985,boleto
986,debito
987,credito
988,boleto
989,credito
990,pix
991,credito
992,credito
993,boleto
994,debito
995,pix
996,credito
997,pix
998,boleto
999,credito
1000,debito
1001,boleto
1002,pix
1003,credito
1004,credito
1005,dinheiro
1006,credito
1007,credito
1008,credito
1009,credito
1010,credito
1011,credito
1012,pix
1013,credito
1014,credito
1015,debito
1016,debito
1017,credito
1018,debito
1019,credito
1020,debito
1021,boleto
1022,pix
1023,credito
1024,credito
1025,boleto
1026,pix
1027,credito
1028,boleto
1029,credito
1030,debito
1031,pix
1032,credito
1033,credito
1034,credito
1035,credito
1036,pix
1037,debito
1038,credito
1039,credito
1040,pix
1041,credito
1042,debito
1043,credito
1044,credito
1045,debito
1046,pix
1047,credito
1048,pix
1049,pix
1050,debito
1051,boleto
1052,credito
1053,credito
1054,credito
1055,credito
1056,boleto
1057,credito
1058,credito
1059,credito
1060,boleto
1061,debito
1062,pix
1063,boleto
1064,debito
1065,credito
1066,debito
1067,credito
1068,pix
1069,credito
1070,debito
1071,credito
1072,credito
1073,credito
1074,credito
1075,credito
1076,credito
1077,debito
1078,dinheiro
1079,debito
1080,credito
1081,boleto
1082,credito
1083,credito
1084,debito
1085,dinheiro
1086,credito
1087,pix
1088,credito
1089,boleto
1090,credito
1091,pix
1092,boleto
1093,dinheiro
1094,credito
1095,pix
1096,credito
1097,credito
1098,credito
1099,credito
1100,credito
1101,credito
1102,boleto
1103,credito
1104,boleto
1105,credito
1106,credito
1107,debito
1108,credito
1109,credito
1110,credito
1111,dinheiro
1112,credito
1113,debito
1114,debito
1115,credito
1116,credito
1117,debito
1118,credito
1119,debito
1120,dinheiro
1121,dinheiro
1122,credito
1123,credito
1124,credito
1125,credito
1126,credito
1127,credito
1128,credito
1129,credito
1130,debito
1131,debito
1132,credito
1133,credito
1134,pix
1135,credito
1136,credito
1137,pix
1138,credito
1139,credito
1140,pix
1141,dinheiro
1142,pix
1143,debito
1144,credito
1145,credito
1146,debito
1147,credito
1148,credito
1149,credito
1150,credito
1151,pix
1152,credito
1153,pix
1154,pix
1155,dinheiro
1156,pix
1157,credito
1158,debito
1159,credito
1160,debito
1161,credito
1162,credito
1163,credito
1164,pix
1165,credito
1166,credito
1167,boleto
1168,credito
1169,credito
1170,credito
1171,debito
1172,credito
1173,boleto
1174,credito
1175,boleto
1176,credito
1177,boleto
1178,debito
1179,debito
1180,credito
1181,credito
1182,pix
1183,pix
1184,credito
1185,dinheiro
1186,credito
1187,pix
1188,boleto
1189,credito
1190,debito
1191,credito
1192,credito
1193,debito
1194,credito
1195,credito
1196,credito
1197,boleto
1198,pix
1199,debito
1200,credito
1201,debito
1202,debito
1203,pix
1204,credito
1205,dinheiro
1206,credito
1207,credito
1208,credito
1209,debito
1210,pix
1211,credito
1212,credito
1213,pix
1214,credito
1215,credito
1216,credito
1217,debito
1218,credito
1219,debito
1220,credito
1221,credito
1222,credito
1223,pix
1224,credito
1225,credito
1226,dinheiro
1227,pix
1228,debito
1229,credito
1230,credito
1231,credito
1232,dinheiro
1233,credito
1234,debito
1235,credito
1236,debito
1237,debito
1238,boleto
1239,pix
1240,credito
1241,credito
1242,credito
1243,credito
1244,dinheiro
1245,credito
1246,credito
1247,credito
1248,boleto
1249,credito
1250,dinheiro
1251,debito
1252,pix
1253,debito
1254,credito
1255,credito
1256,credito
1257,pix
1258,dinheiro
1259,credito
1260,boleto
1261,credito
1262,credito
1263,credito
1264,credito
1265,debito
1266,boleto
1267,credito
1268,boleto
1269,pix
1270,credito
1271,credito
1272,debito
1273,credito
1274,credito
1275,credito
1276,debito
1277,boleto
1278,dinheiro
1279,credito
1280,credito
1281,credito
1282,credito
1283,debito
1284,credito
1285,pix
1286,credito
1287,credito
1288,credito
1289,credito
1290,credito
1291,credito
1292,debito
1293,debito
1294,debito
1295,credito
1296,credito
1297,boleto
1298,pix
1299,credito
1300,credito
1301,credito
1302,credito
1303,credito
1304,credito
1305,pix
1306,boleto
1307,credito
1308,pix
1309,credito
1310,credito
1311,credito
1312,pix
1313,boleto
1314,credito
1315,credito
1316,credito
1317,credito
1318,credito
1319,boleto
1320,debito
1321,dinheiro
1322,debito
1323,pix
1324,credito
1325,credito
1326,debito
1327,credito
1328,dinheiro
1329,boleto
1330,pix
1331,boleto
1332,credito
1333,credito
1334,pix
1335,debito
1336,credito
1337,pix
1338,credito
1339,credito
1340,pix
1341,credito
1342,credito
1343,pix
1344,credito
1345,pix
1346,boleto
1347,debito
1348,credito
1349,credito
1350,debito
1351,boleto
1352,debito
1353,boleto
1354,pix
1355,credito
1356,boleto
1357,credito
1358,credito
1359,pix
1360,credito
1361,credito
1362,pix
1363,credito
1364,credito
1365,credito
1366,debito
1367,credito
1368,debito
1369,credito
1370,credito
1371,pix
1372,dinheiro
1373,debito
1374,credito
1375,credito
1376,credito
1377,credito
1378,credito
1379,credito
1380,credito
1381,pix
1382,credito
1383,boleto
1384,credito
1385,credito
1386,credito
1387,dinheiro
1388,credito
1389,credito
1390,dinheiro
1391,credito
1392,credito
1393,credito
1394,boleto
1395,pix
1396,credito
1397,debito
1398,credito
1399,dinheiro
1400,credito
1401,pix
1402,credito
1403,credito
1404,credito
1405,credito
1406,credito
1407,credito
1408,credito
1409,credito
1410,credito
1411,credito
1412,boleto
1413,pix
1414,credito
1415,credito
1416,pix
1417,credito
1418,credito
1419,pix
1420,credito
1421,credito
1422,credito
1423,pix
1424,dinheiro
1425,credito
1426,pix
1427,debito
1428,dinheiro
1429,debito
1430,pix
1431,dinheiro
1432,dinheiro
1433,credito
1434,dinheiro
1435,credito
1436,credito
1437,boleto
1438,credito
1439,boleto
1440,debito
1441,credito
1442,credito
1443,debito
1444,credito
1445,debito
1446,debito
1447,credito
1448,debito
1449,pix
1450,debito
1451,credito
1452,credito
1453,pix
1454,pix
1455,pix
1456,boleto
1457,credito
1458,debito
1459,credito
1460,pix
1461,pix
1462,credito
1463,pix
1464,credito
1465,credito
1466,credito
1467,pix
1468,dinheiro
1469,boleto
1470,credito
1471,credito
1472,debito
1473,credito
1474,credito
1475,pix
1476,dinheiro
1477,credito
1478,boleto
1479,credito
1480,credito
1481,credito
1482,credito
1483,credito
1484,credito
1485,dinheiro
1486,dinheiro
1487,credito
1488,pix
1489,credito
1490,dinheiro
1491,pix
1492,pix
1493,credito
1494,pix
1495,credito
1496,credito
1497,credito
1498,credito
1499,credito
1500,credito
1501,credito
1502,credito
1503,pix
1504,credito
1505,credito
1506,boleto
1507,credito
1508,pix
1509,credito
1510,credito
1511,credito
1512,pix
1513,credito
1514,credito
1515,credito
1516,credito
1517,credito
1518,debito
1519,credito
1520,dinheiro
1521,pix
1522,credito
1523,pix
1524,debito
1525,credito
1526,credito
1527,credito
1528,debito
1529,credito
1530,credito
1531,credito
1532,credito
1533,credito
1534,credito
1535,pix
1536,credito
1537,credito
1538,credito
1539,pix
1540,credito
1541,credito
1542,credito
1543,credito
1544,debito
1545,pix
1546,pix
1547,credito
1548,credito
1549,credito
1550,debito
1551,credito
1552,boleto
1553,credito
1554,credito
1555,pix
1556,credito
1557,credito
1558,credito
1559,credito
1560,credito
1561,debito
1562,credito
1563,pix
1564,boleto
1565,credito
1566,credito
1567,dinheiro
1568,credito
1569,credito
1570,boleto
1571,credito
1572,debito
1573,credito
1574,pix
1575,credito
1576,credito
1577,credito
1578,credito
1579,credito
1580,credito
1581,credito
1582,credito
1583,credito
1584,debito
1585,debito
1586,credito
1587,debito
1588,debito
1589,pix
1590,credito
1591,credito
1592,credito
1593,credito
1594,boleto
1595,pix
1596,credito
1597,credito
1598,credito
1599,pix
1600,pix
1601,pix
1602,credito
1603,debito
1604,pix
1605,credito
1606,credito
1607,credito
1608,credito
1609,dinheiro
1610,credito
1611,credito
1612,credito
1613,credito
1614,dinheiro
1615,credito
1616,credito
1617,credito
1618,pix
1619,credito
1620,credito
1621,pix
1622,credito
1623,credito
1624,pix
1625,pix
1626,credito
1627,boleto
1628,credito
1629,credito
1630,credito
1631,credito
1632,credito
1633,pix
1634,credito
1635,credito
1636,credito
1637,credito
1638,credito
1639,pix
1640,credito
1641,credito
1642,pix
1643,pix
1644,credito
1645,dinheiro
1646,credito
1647,credito
1648,debito
1649,credito
1650,pix
1651,credito
1652,pix
1653,credito
1654,boleto
1655,credito
1656,credito
1657,credito
1658,credito
1659,credito
1660,debito
1661,credito
1662,credito
1663,boleto
1664,boleto
1665,credito
1666,credito
1667,debito
1668,credito
1669,credito
1670,pix
1671,pix
1672,pix
1673,credito
1674,credito
1675,credito
1676,credito
1677,credito
1678,credito
1679,credito
1680,pix
1681,pix
1682,credito
1683,debito
1684,credito
1685,credito
1686,credito
1687,credito
1688,debito
1689,debito
1690,dinheiro
1691,credito
1692,credito
1693,credito
1694,dinheiro
1695,dinheiro
1696,boleto
1697,dinheiro
1698,boleto
1699,credito
1700,debito
1701,credito
1702,credito
1703,credito
1704,credito
1705,dinheiro
1706,debito
1707,credito
1708,credito
1709,pix
1710,boleto
1711,credito
1712,credito
1713,credito
1714,pix
1715,debito
1716,credito
1717,credito
1718,debito
1719,pix
1720,debito
1721,pix
1722,debito
1723,credito
1724,boleto
1725,credito
1726,credito
1727,credito
1728,credito
1729,credito
1730,credito
1731,credito
1732,credito
1733,debito
1734,credito
1735,credito
1736,dinheiro
1737,credito
1738,boleto
1739,credito
1740,boleto
1741,boleto
1742,pix
1743,pix
1744,credito
1745,credito
1746,dinheiro
1747,credito
1748,boleto
1749,debito
1750,pix
1751,pix
1752,boleto
1753,debito
1754,credito
1755,pix
1756,credito
1757,credito
1758,credito
1759,credito
1760,credito
1761,pix
1762,credito
1763,credito
1764,dinheiro
1765,credito
1766,credito
1767,credito
1768,credito
1769,credito
1770,credito
1771,credito
1772,credito
1773,credito
1774,pix
1775,credito
1776,credito
1777,credito
1778,debito
1779,debito
1780,credito
1781,boleto
1782,boleto
1783,credito
1784,credito
1785,credito
1786,pix
1787,credito
1788,pix
1789,credito
1790,debito
1791,pix
1792,credito
1793,credito
1794,boleto
1795,credito
1796,credito
1797,credito
1798,credito
1799,credito
1800,boleto
1801,pix
1802,debito
1803,pix
1804,debito
1805,credito
1806,dinheiro
1807,debito
1808,pix
1809,boleto
1810,credito
1811,pix
1812,pix
1813,pix
1814,dinheiro
1815,debito
1816,credito
1817,credito
1818,credito
1819,credito
1820,debito
1821,credito
1822,debito
1823,credito
1824,credito
1825,debito
1826,boleto
1827,pix
1828,pix
1829,credito
1830,credito
1831,credito
1832,pix
1833,debito
1834,credito
1835,credito
1836,pix
1837,credito
1838,credito
1839,credito
1840,debito
1841,credito
1842,pix
1843,pix
1844,credito
1845,debito
1846,credito
1847,credito
1848,credito
1849,credito
1850,credito
1851,credito
1852,credito
1853,credito
1854,dinheiro
1855,debito
1856,credito
1857,credito
1858,credito
1859,dinheiro
1860,credito
1861,credito
1862,credito
1863,credito
1864,pix
1865,credito
1866,credito
1867,credito
1868,debito
1869,credito
1870,credito
1871,dinheiro
1872,credito
1873,credito
1874,credito
1875,dinheiro
1876,credito
1877,credito
1878,credito
1879,boleto
1880,boleto
1881,debito
1882,pix
1883,credito
1884,credito
1885,credito
1886,credito
1887,credito
1888,pix
1889,credito
1890,boleto
1891,credito
1892,dinheiro
1893,debito
1894,credito
1895,credito
1896,pix
1897,credito
1898,boleto
1899,pix
1900,credito
1901,credito
1902,credito
1903,credito
1904,credito
1905,credito
1906,pix
1907,pix
1908,credito
1909,debito
1910,credito
1911,credito
1912,credito
1913,credito
1914,dinheiro
1915,credito
1916,debito
1917,debito
1918,credito
1919,pix
1920,credito
1921,dinheiro
1922,credito
1923,debito
1924,debito
1925,dinheiro
1926,credito
1927,dinheiro
1928,boleto
1929,debito
1930,credito
1931,credito
1932,credito
1933,credito
1934,credito
1935,credito
1936,credito
1937,credito
1938,debito
1939,pix
1940,pix
1941,credito
1942,debito
1943,boleto
1944,credito
1945,dinheiro
1946,credito
1947,credito
1948,pix
1949,debito
1950,credito
1951,credito
1952,credito
1953,debito
1954,credito
1955,credito
1956,credito
1957,boleto
1958,dinheiro
1959,credito
1960,boleto
1961,dinheiro
1962,boleto
1963,boleto
1964,boleto
1965,credito
1966,credito
1967,credito
1968,boleto
1969,credito
1970,dinheiro
1971,boleto
1972,dinheiro
1973,pix
1974,credito
1975,pix
1976,boleto
1977,pix
1978,dinheiro
1979,credito
1980,credito
1981,pix
1982,pix
1983,boleto
1984,credito
1985,debito
1986,credito
1987,credito
1988,credito
1989,credito
1990,credito
1991,credito
1992,pix
1993,credito
1994,credito
1995,dinheiro
1996,pix
1997,credito
1998,pix
1999,debito
2000,dinheiro
2001,credito
2002,credito
2003,debito
2004,credito
2005,credito
2006,credito
2007,boleto
2008,debito
2009,credito
2010,credito
2011,credito
2012,dinheiro
2013,boleto
2014,dinheiro
2015,credito
2016,credito
2017,debito
2018,debito
2019,pix
2020,credito
2021,credito
2022,credito
2023,credito
2024,credito
2025,credito
2026,credito
2027,pix
2028,credito
2029,boleto
2030,credito
2031,debito
2032,credito
2033,credito
2034,dinheiro
2035,boleto
2036,debito
2037,debito
2038,credito
2039,credito
2040,pix
2041,pix
2042,credito
2043,dinheiro
2044,credito
2045,credito
2046,credito
2047,pix
2048,credito
2049,credito
2050,credito
2051,credito
2052,dinheiro
2053,debito
2054,credito
2055,credito
2056,credito
2057,credito
2058,debito
2059,credito
2060,credito
2061,pix
2062,pix
2063,debito
2064,credito
2065,credito
2066,credito
2067,boleto
2068,boleto
2069,credito
2070,credito
2071,credito
2072,credito
2073,boleto
2074,boleto
2075,boleto
2076,dinheiro
2077,credito
2078,credito
2079,credito
2080,credito
2081,credito
2082,credito
2083,credito
2084,credito
2085,credito
2086,credito
2087,pix
2088,credito
2089,debito
2090,pix
2091,dinheiro
2092,pix
2093,pix
2094,boleto
2095,pix
2096,credito
2097,dinheiro
2098,credito
2099,credito
2100,boleto
2101,credito
2102,credito
2103,credito
2104,pix
2105,credito
2106,credito
2107,credito
2108,boleto
2109,credito
2110,credito
2111,credito
2112,credito
2113,credito
2114,credito
2115,credito
2116,credito
2117,pix
2118,credito
2119,credito
2120,pix
2121,debito
2122,pix
2123,debito
2124,credito
2125,credito
2126,credito
2127,pix
2128,boleto
2129,credito
2130,credito
2131,debito
2132,credito
2133,pix
2134,credito
2135,credito
2136,credito
2137,boleto
2138,credito
2139,pix
2140,credito
2141,credito
2142,credito
2143,credito
2144,credito
2145,pix
2146,credito
2147,credito
2148,dinheiro
2149,credito
2150,credito
2151,credito
2152,boleto
2153,credito
2154,credito
2155,credito
2156,credito
2157,credito
2158,boleto
2159,dinheiro
2160,debito
2161,pix
2162,credito
2163,credito
2164,debito
2165,credito
2166,credito
2167,boleto
2168,credito
2169,debito
2170,credito
2171,credito
2172,pix
2173,debito
2174,credito
2175,debito
2176,credito
2177,credito
2178,credito
2179,credito
2180,boleto
2181,credito
2182,credito
2183,pix
2184,credito
2185,debito
2186,pix
2187,credito
2188,credito
2189,pix
2190,credito
2191,credito
2192,boleto
2193,pix
2194,credito
2195,pix
2196,pix
2197,credito
2198,credito
2199,credito
2200,credito
2201,credito
2202,credito
2203,credito
2204,credito
2205,credito
2206,credito
2207,boleto
2208,credito
2209,pix
2210,credito
2211,debito
2212,pix
2213,credito
2214,credito
2215,credito
2216,pix
2217,credito
2218,credito
2219,debito
2220,credito
2221,credito
2222,credito
2223,debito
2224,pix
2225,credito
2226,pix
2227,credito
2228,dinheiro
2229,boleto
2230,pix
2231,credito
2232,credito
2233,credito
2234,credito
2235,pix
2236,credito
2237,credito
2238,pix
2239,debito
2240,boleto
2241,pix
2242,credito
2243,credito
2244,credito
2245,pix
2246,credito
2247,dinheiro
2248,pix
2249,credito
2250,credito
2251,pix
2252,credito
2253,credito
2254,credito
2255,credito
2256,credito
2257,credito
2258,debito
2259,pix
2260,credito
2261,pix
2262,credito
2263,pix
2264,dinheiro
2265,boleto
2266,dinheiro
2267,boleto
2268,pix
2269,credito
2270,credito
2271,pix
2272,credito
2273,credito
2274,credito
2275,debito
2276,credito
2277,debito
2278,debito
2279,boleto
2280,credito
2281,credito
2282,credito
2283,credito
2284,dinheiro
2285,debito
2286,dinheiro
2287,pix
2288,pix
2289,pix
2290,debito
2291,dinheiro
2292,credito
2293,credito
2294,credito
2295,pix
2296,credito
2297,credito
2298,debito
2299,credito
2300,debito
2301,pix
2302,boleto
2303,debito
2304,credito
2305,pix
2306,boleto
2307,credito
2308,credito
2309,credito
2310,debito
2311,pix
2312,debito
2313,credito
2314,credito
2315,pix
2316,boleto
2317,credito
2318,credito
2319,pix
2320,credito
2321,dinheiro
2322,debito
2323,credito
2324,pix
2325,credito
2326,boleto
2327,debito
2328,credito
2329,credito
2330,credito
2331,pix
2332,credito
2333,credito
2334,credito
2335,credito
2336,debito
2337,pix
2338,credito
2339,credito
2340,credito
2341,credito
2342,credito
2343,credito
2344,debito
2345,debito
2346,boleto
2347,debito
2348,pix
2349,credito
2350,pix
2351,debito
2352,credito
2353,credito
2354,debito
2355,credito
2356,pix
2357,debito
2358,debito
2359,debito
2360,pix
2361,credito
2362,credito
2363,boleto
2364,credito
2365,credito
2366,credito
2367,credito
2368,boleto
2369,debito
2370,credito
2371,boleto
2372,credito
2373,credito
2374,credito
2375,credito
2376,credito
2377,credito
2378,credito
2379,credito
2380,credito
2381,credito
2382,credito
2383,credito
2384,credito
2385,credito
2386,credito
2387,debito
2388,dinheiro
2389,boleto
2390,credito
2391,credito
2392,credito
2393,credito
2394,pix
2395,debito
2396,credito
